"NTRT","SITE","REP","YIELD"
"1","1","1",1.979
"1","1","2",1.511
"1","1","3",3.664
"1","2","1",3.617
"1","2","2",3.58
"1","2","3",3.939
"1","3","1",4.32
"1","3","2",4.068
"1","3","3",3.856
"2","1","1",4.572
"2","1","2",4.34
"2","1","3",4.132
"2","2","1",6.065
"2","2","2",5.463
"2","2","3",5.435
"2","3","1",5.862
"2","3","2",4.626
"2","3","3",4.913
"3","1","1",5.63
"3","1","2",6.78
"3","1","3",4.933
"3","2","1",6.092
"3","2","2",6.571
"3","2","3",6.084
"3","3","1",5.136
"3","3","2",5.836
"3","3","3",4.898
"4","1","1",7.153
"4","1","2",6.504
"4","1","3",6.326
"4","2","1",5.916
"4","2","2",6.982
"4","2","3",7.145
"4","3","1",6.336
"4","3","2",5.456
"4","3","3",5.663
"5","1","1",7.223
"5","1","2",7.107
"5","1","3",6.051
"5","2","1",7.191
"5","2","2",6.109
"5","2","3",7.967
"5","3","1",5.571
"5","3","2",5.854
"5","3","3",5.533
"6","1","1",7.234
"6","1","2",6.829
"6","1","3",5.874
"6","2","1",5.805
"6","2","2",6.89
"6","2","3",7.113
"6","3","1",6.765
"6","3","2",5.263
"6","3","3",3.91
