"X","P1","P2","G001","G002","G003","G004","G005","G006","G007","G008","G009","G010"
"P1",0,0.994,0.664,0.678,0.667,0.672,0.622,0.656,0.689,0.744,0.667,0.711
"P2",0.994,0,0.331,0.317,0.328,0.328,0.378,0.339,0.306,0.25,0.328,0.311
"G001",0.664,0.331,0,0.325,0.314,0.247,0.297,0.236,0.325,0.258,0.231,0.247
"G002",0.678,0.317,0.325,0,0.433,0.333,0.211,0.239,0.189,0.267,0.278,0.272
"G003",0.667,0.328,0.314,0.433,0,0.272,0.344,0.361,0.383,0.311,0.311,0.4
"G004",0.672,0.328,0.247,0.333,0.272,0,0.261,0.289,0.267,0.256,0.3,0.3
"G005",0.622,0.378,0.297,0.211,0.344,0.261,0,0.289,0.172,0.239,0.3,0.289
"G006",0.656,0.339,0.236,0.239,0.361,0.289,0.289,0,0.256,0.217,0.228,0.278
"G007",0.689,0.306,0.325,0.189,0.383,0.267,0.172,0.256,0,0.25,0.311,0.278
"G008",0.744,0.25,0.258,0.267,0.311,0.256,0.239,0.217,0.25,0,0.228,0.239
"G009",0.667,0.328,0.231,0.278,0.311,0.3,0.3,0.228,0.311,0.228,0,0.211
"G010",0.711,0.311,0.247,0.272,0.4,0.3,0.289,0.278,0.278,0.239,0.211,0
