"Rep","Nitrogen","Management","Variety","GY"
"1","N1","M1","V1",3.32
"1","N1","M2","V1",3.766
"1","N1","M3","V1",4.66
"1","N1","M1","V2",6.101
"1","N1","M2","V2",5.096
"1","N1","M3","V2",6.573
"1","N1","M1","V3",5.355
"1","N1","M2","V3",7.442
"1","N1","M3","V3",7.018
"1","N2","M1","V1",3.188
"1","N2","M2","V1",3.625
"1","N2","M3","V1",5.232
"1","N2","M1","V2",5.595
"1","N2","M2","V2",6.357
"1","N2","M3","V2",7.016
"1","N2","M1","V3",6.706
"1","N2","M2","V3",8.592
"1","N2","M3","V3",8.48
"1","N3","M1","V1",5.468
"1","N3","M2","V1",5.759
"1","N3","M3","V1",6.215
"1","N3","M1","V2",5.442
"1","N3","M2","V2",6.398
"1","N3","M3","V2",6.953
"1","N3","M1","V3",8.452
"1","N3","M2","V3",8.662
"1","N3","M3","V3",9.112
"1","N4","M1","V1",4.246
"1","N4","M2","V1",5.255
"1","N4","M3","V1",6.829
"1","N4","M1","V2",6.209
"1","N4","M2","V2",6.992
"1","N4","M3","V2",7.565
"1","N4","M1","V3",8.042
"1","N4","M2","V3",9.08
"1","N4","M3","V3",9.66
"1","N5","M1","V1",3.132
"1","N5","M2","V1",5.389
"1","N5","M3","V1",5.217
"1","N5","M1","V2",6.86
"1","N5","M2","V2",6.857
"1","N5","M3","V2",7.254
"1","N5","M1","V3",9.314
"1","N5","M2","V3",9.224
"1","N5","M3","V3",10.36
"2","N1","M1","V1",3.864
"2","N1","M2","V1",4.311
"2","N1","M3","V1",5.915
"2","N1","M1","V2",5.122
"2","N1","M2","V2",4.873
"2","N1","M3","V2",5.495
"2","N1","M1","V3",5.536
"2","N1","M2","V3",6.462
"2","N1","M3","V3",8.02
"2","N2","M1","V1",4.752
"2","N2","M2","V1",4.809
"2","N2","M3","V1",5.17
"2","N2","M1","V2",6.78
"2","N2","M2","V2",5.925
"2","N2","M3","V2",7.442
"2","N2","M1","V3",6.546
"2","N2","M2","V3",7.646
"2","N2","M3","V3",9.942
"2","N3","M1","V1",5.788
"2","N3","M2","V1",6.13
"2","N3","M3","V1",7.106
"2","N3","M1","V2",5.988
"2","N3","M2","V2",6.533
"2","N3","M3","V2",6.914
"2","N3","M1","V3",6.698
"2","N3","M2","V3",8.526
"2","N3","M3","V3",9.14
"2","N4","M1","V1",4.842
"2","N4","M2","V1",5.742
"2","N4","M3","V1",5.869
"2","N4","M1","V2",6.768
"2","N4","M2","V2",7.856
"2","N4","M3","V2",7.626
"2","N4","M1","V3",7.414
"2","N4","M2","V3",9.016
"2","N4","M3","V3",8.966
"2","N5","M1","V1",4.375
"2","N5","M2","V1",4.315
"2","N5","M3","V1",5.389
"2","N5","M1","V2",6.894
"2","N5","M2","V2",6.974
"2","N5","M3","V2",7.812
"2","N5","M1","V3",8.508
"2","N5","M2","V3",9.68
"2","N5","M3","V3",9.896
"3","N1","M1","V1",4.507
"3","N1","M2","V1",4.875
"3","N1","M3","V1",5.4
"3","N1","M1","V2",4.815
"3","N1","M2","V2",4.166
"3","N1","M3","V2",4.225
"3","N1","M1","V3",5.244
"3","N1","M2","V3",5.584
"3","N1","M3","V3",7.642
"3","N2","M1","V1",4.756
"3","N2","M2","V1",5.295
"3","N2","M3","V1",6.046
"3","N2","M1","V2",5.39
"3","N2","M2","V2",5.163
"3","N2","M3","V2",4.478
"3","N2","M1","V3",7.092
"3","N2","M2","V3",7.212
"3","N2","M3","V3",8.714
"3","N3","M1","V1",4.422
"3","N3","M2","V1",5.308
"3","N3","M3","V1",6.318
"3","N3","M1","V2",6.509
"3","N3","M2","V2",6.569
"3","N3","M3","V2",7.991
"3","N3","M1","V3",8.65
"3","N3","M2","V3",8.514
"3","N3","M3","V3",9.32
"3","N4","M1","V1",4.863
"3","N4","M2","V1",5.345
"3","N4","M3","V1",6.011
"3","N4","M1","V2",5.779
"3","N4","M2","V2",6.164
"3","N4","M3","V2",7.362
"3","N4","M1","V3",6.902
"3","N4","M2","V3",7.778
"3","N4","M3","V3",9.128
"3","N5","M1","V1",4.678
"3","N5","M2","V1",5.896
"3","N5","M3","V1",7.309
"3","N5","M1","V2",6.573
"3","N5","M2","V2",7.422
"3","N5","M3","V2",8.95
"3","N5","M1","V3",8.032
"3","N5","M2","V3",9.294
"3","N5","M3","V3",9.712
