"row","col","trt","yield"
"1","1","T3",3.1
"1","2","T6",5.95
"1","3","T1",1.75
"1","4","T5",6.4
"1","5","T2",3.85
"1","6","T4",5.3
"2","1","T2",4.8
"2","2","T1",2.7
"2","3","T3",3.3
"2","4","T6",5.95
"2","5","T4",3.7
"2","6","T5",5.4
"3","1","T1",3
"3","2","T2",2.95
"3","3","T5",6.7
"3","4","T4",5.95
"3","5","T6",7.75
"3","6","T3",7.1
"4","1","T5",6.4
"4","2","T4",5.8
"4","3","T2",3.8
"4","4","T3",6.55
"4","5","T1",4.8
"4","6","T6",9.4
"5","1","T6",5.2
"5","2","T3",4.85
"5","3","T4",6.6
"5","4","T2",4.6
"5","5","T5",7
"5","6","T1",5
"6","1","T4",4.25
"6","2","T5",6.65
"6","3","T6",9.3
"6","4","T1",4.95
"6","5","T3",9.3
"6","6","T2",8.4
