"Group","nmfp","nf45","fweight","flength","syld","sl"
"2",112,6.3,2.58,44.56,224.26,18.18
"2",110,6.7,2.74,47.04,197.5,18.07
"2",116,7.3,2.58,43.4,230.34,19.07
"2",113,8,2.62,45.5,217.05,19
"2",124,8,2.68,44.76,233.84,18
"2",120,8,2.56,47.36,216.52,18.49
"2",126,7.7,2.34,47.5,211.93,17.45
"2",109,7.7,2.67,46.8,210.37,18.97
"2",111,7,2.45,44.25,199.87,19.31
"2",125,7.3,2.44,43.26,214.3,19.36
"3",67,1.7,1.45,35.24,21.35,14.9
"3",62,2.8,1.75,41.83,41.25,15.2
"3",70,2.2,1.69,34.2,22.5,14.7
"3",72,1.7,1.46,37.13,23.27,15.2
"3",65,2.2,1.52,34.56,23.03,15.61
"3",71,1.7,1.55,33.03,38.81,15.35
"3",67,2.2,1.49,38.5,41.67,15.89
"3",65,2.2,1.49,36.54,22.43,15
"3",66,2.2,1.58,38.24,41.01,15.42
"3",72,2.8,1.56,35.12,38.63,16.1
