"Obs","Soil","Variety","Block","Yield"
1,"1","1","1",22.1
2,"1","1","2",24.1
3,"1","1","3",19.1
4,"1","1","4",22.1
5,"1","1","5",25.1
6,"1","1","6",18.1
7,"1","2","1",27.1
8,"1","2","2",15.1
9,"1","2","3",20.6
10,"1","2","4",28.6
11,"1","2","5",15.1
12,"1","2","6",24.6
13,"1","3","1",22.3
14,"1","3","2",25.8
15,"1","3","3",22.8
16,"1","3","4",28.3
17,"1","3","5",21.3
18,"1","3","6",18.3
19,"1","4","1",19.8
20,"1","4","2",28.3
21,"1","4","3",26.8
22,"1","4","4",27.3
23,"1","4","5",26.8
24,"1","4","6",26.8
25,"1","5","1",20
26,"1","5","2",17
27,"1","5","3",24
28,"1","5","4",22.5
29,"1","5","5",28
30,"1","5","6",22.5
31,"2","1","1",13.5
32,"2","1","2",14.5
33,"2","1","3",11.5
34,"2","1","4",6
35,"2","1","5",27
36,"2","1","6",18
37,"2","2","1",16.9
38,"2","2","2",17.4
39,"2","2","3",10.4
40,"2","2","4",19.4
41,"2","2","5",11.9
42,"2","2","6",15.4
43,"2","3","1",15.7
44,"2","3","2",10.2
45,"2","3","3",16.7
46,"2","3","4",19.7
47,"2","3","5",18.2
48,"2","3","6",12.2
49,"2","4","1",15.1
50,"2","4","2",6.5
51,"2","4","3",17.1
52,"2","4","4",7.6
53,"2","4","5",13.6
54,"2","4","6",21.1
55,"2","5","1",21.8
56,"2","5","2",22.8
57,"2","5","3",18.8
58,"2","5","4",21.3
59,"2","5","5",16.3
60,"2","5","6",14.3
61,"3","1","1",19
62,"3","1","2",22
63,"3","1","3",20
64,"3","1","4",14.5
65,"3","1","5",19
66,"3","1","6",16
67,"3","2","1",20
68,"3","2","2",22
69,"3","2","3",25.5
70,"3","2","4",16.5
71,"3","2","5",18
72,"3","2","6",17.5
73,"3","3","1",16.4
74,"3","3","2",14.4
75,"3","3","3",21.4
76,"3","3","4",19.9
77,"3","3","5",10.4
78,"3","3","6",21.4
79,"3","4","1",24.5
80,"3","4","2",16
81,"3","4","3",11
82,"3","4","4",7.5
83,"3","4","5",14.5
84,"3","4","6",15.5
85,"3","5","1",11.8
86,"3","5","2",14.3
87,"3","5","3",21.3
88,"3","5","4",6.3
89,"3","5","5",7.8
90,"3","5","6",13.8
